0;param1;param2;good;bad
330;28.5;0.55;435.0;15.0
331;28.6;0.45;424.0;26.0
332;28.6;0.475;424.0;26.0
333;28.6;0.5;435.0;15.0
334;28.6;0.5250000000000001;435.0;15.0
335;28.6;0.55;435.0;15.0
336;28.7;0.45;424.0;26.0
337;28.7;0.475;424.0;26.0
338;28.7;0.5;435.0;15.0
339;28.7;0.5250000000000001;435.0;15.0
340;28.7;0.55;435.0;15.0
341;28.8;0.45;424.0;26.0
342;28.8;0.475;424.0;26.0
343;28.8;0.5;435.0;15.0
344;28.8;0.5250000000000001;435.0;15.0
345;28.8;0.55;435.0;15.0
346;28.9;0.45;424.0;26.0
347;28.9;0.475;424.0;26.0
348;28.9;0.5;435.0;15.0
349;28.9;0.5250000000000001;435.0;15.0
350;28.9;0.55;435.0;15.0
351;29.0;0.45;424.0;26.0
352;29.0;0.475;424.0;26.0
353;29.0;0.5;435.0;15.0
354;29.0;0.5250000000000001;435.0;15.0
355;29.0;0.55;435.0;15.0
356;29.1;0.45;424.0;26.0
357;29.1;0.475;424.0;26.0
358;29.1;0.5;435.0;15.0
359;29.1;0.5250000000000001;435.0;15.0
360;29.1;0.55;435.0;15.0
361;29.2;0.45;424.0;26.0
362;29.2;0.475;424.0;26.0
363;29.2;0.5;435.0;15.0
364;29.2;0.5250000000000001;435.0;15.0
365;29.2;0.55;435.0;15.0
366;29.3;0.45;424.0;26.0
367;29.3;0.475;424.0;26.0
368;29.3;0.5;435.0;15.0
369;29.3;0.5250000000000001;435.0;15.0
370;29.3;0.55;435.0;15.0
371;29.4;0.45;424.0;26.0
372;29.4;0.475;424.0;26.0
373;29.4;0.5;435.0;15.0
374;29.4;0.5250000000000001;435.0;15.0
375;29.4;0.55;435.0;15.0
376;29.5;0.45;424.0;26.0
377;29.5;0.475;424.0;26.0
378;29.5;0.5;435.0;15.0
379;29.5;0.5250000000000001;435.0;15.0
380;29.5;0.55;435.0;15.0
381;29.6;0.45;424.0;26.0
382;29.6;0.475;424.0;26.0
383;29.6;0.5;435.0;15.0
384;29.6;0.5250000000000001;435.0;15.0
385;29.6;0.55;435.0;15.0
386;29.7;0.45;424.0;26.0
387;29.7;0.475;424.0;26.0
388;29.7;0.5;435.0;15.0
389;29.7;0.5250000000000001;435.0;15.0
390;29.7;0.55;435.0;15.0
391;29.8;0.45;424.0;26.0
392;29.8;0.475;424.0;26.0
393;29.8;0.5;435.0;15.0
394;29.8;0.5250000000000001;435.0;15.0
395;29.8;0.55;435.0;15.0
396;29.9;0.45;424.0;26.0
397;29.9;0.475;424.0;26.0
398;29.9;0.5;435.0;15.0
399;29.9;0.5250000000000001;435.0;15.0
400;29.9;0.55;435.0;15.0
401;30.0;0.45;424.0;26.0
402;30.0;0.475;424.0;26.0
403;30.0;0.5;435.0;15.0
404;30.0;0.5250000000000001;435.0;15.0
405;30.0;0.55;435.0;15.0
406;30.1;0.45;424.0;26.0
407;30.1;0.475;424.0;26.0
408;30.1;0.5;435.0;15.0
409;30.1;0.5250000000000001;435.0;15.0
410;30.1;0.55;435.0;15.0
411;30.2;0.45;424.0;26.0
412;30.2;0.475;424.0;26.0
413;30.2;0.5;435.0;15.0
414;30.2;0.5250000000000001;435.0;15.0
415;30.2;0.55;435.0;15.0
416;30.3;0.45;424.0;26.0
417;30.3;0.475;424.0;26.0
418;30.3;0.5;435.0;15.0
419;30.3;0.5250000000000001;435.0;15.0
420;30.3;0.55;435.0;15.0
421;30.4;0.45;424.0;26.0
422;30.4;0.475;424.0;26.0
423;30.4;0.5;435.0;15.0
424;30.4;0.5250000000000001;435.0;15.0
425;30.4;0.55;435.0;15.0
426;30.5;0.45;424.0;26.0
427;30.5;0.475;424.0;26.0
428;30.5;0.5;435.0;15.0
429;30.5;0.5250000000000001;435.0;15.0
430;30.5;0.55;435.0;15.0
431;30.6;0.45;424.0;26.0
432;30.6;0.475;424.0;26.0
433;30.6;0.5;435.0;15.0
434;30.6;0.5250000000000001;435.0;15.0
435;30.6;0.55;435.0;15.0
436;30.7;0.45;424.0;26.0
437;30.7;0.475;424.0;26.0
438;30.7;0.5;435.0;15.0
439;30.7;0.5250000000000001;435.0;15.0
440;30.7;0.55;435.0;15.0
441;30.8;0.45;424.0;26.0
442;30.8;0.475;424.0;26.0
443;30.8;0.5;435.0;15.0
444;30.8;0.5250000000000001;435.0;15.0
445;30.8;0.55;435.0;15.0
446;30.9;0.45;424.0;26.0
447;30.9;0.475;424.0;26.0
448;30.9;0.5;435.0;15.0
449;30.9;0.5250000000000001;435.0;15.0
450;30.9;0.55;435.0;15.0
451;31.0;0.45;424.0;26.0
452;31.0;0.475;424.0;26.0
453;31.0;0.5;435.0;15.0
454;31.0;0.5250000000000001;435.0;15.0
455;31.0;0.55;435.0;15.0
456;31.1;0.45;424.0;26.0
457;31.1;0.475;424.0;26.0
458;31.1;0.5;435.0;15.0
459;31.1;0.5250000000000001;435.0;15.0
460;31.1;0.55;435.0;15.0
461;31.2;0.45;424.0;26.0
462;31.2;0.475;424.0;26.0
463;31.2;0.5;435.0;15.0
464;31.2;0.5250000000000001;435.0;15.0
465;31.2;0.55;435.0;15.0
466;31.3;0.45;424.0;26.0
467;31.3;0.475;424.0;26.0
468;31.3;0.5;435.0;15.0
469;31.3;0.5250000000000001;435.0;15.0
470;31.3;0.55;435.0;15.0
471;31.4;0.45;424.0;26.0
472;31.4;0.475;424.0;26.0
473;31.4;0.5;435.0;15.0
474;31.4;0.5250000000000001;435.0;15.0
475;31.4;0.55;435.0;15.0
476;31.5;0.45;424.0;26.0
477;31.5;0.475;424.0;26.0
478;31.5;0.5;435.0;15.0
479;31.5;0.5250000000000001;435.0;15.0
480;31.5;0.55;435.0;15.0
481;31.6;0.45;424.0;26.0
482;31.6;0.475;424.0;26.0
483;31.6;0.5;435.0;15.0
484;31.6;0.5250000000000001;435.0;15.0
485;31.6;0.55;435.0;15.0
486;31.7;0.45;424.0;26.0
