0;param1;param2;good;bad
119;24.300.000.000.000.000;0.5250000000000001;1013.0;67.0
120;24.300.000.000.000.000;0.55;1012.0;68.0
121;24.400.000.000.000.000;0.45;1016.0;64.0
122;24.400.000.000.000.000;0.47500000000000003;1015.0;65.0
123;24.400.000.000.000.000;0.5;1015.0;65.0
124;24.400.000.000.000.000;0.5250000000000001;1013.0;67.0
125;24.400.000.000.000.000;0.55;1012.0;68.0
126;24.500.000.000.000.000;0.45;1016.0;64.0
127;24.500.000.000.000.000;0.47500000000000003;1015.0;65.0
128;24.500.000.000.000.000;0.5;1015.0;65.0
129;24.500.000.000.000.000;0.5250000000000001;1013.0;67.0
130;24.500.000.000.000.000;0.55;1012.0;68.0
131;24.600.000.000.000.000;0.45;1016.0;64.0
132;24.600.000.000.000.000;0.47500000000000003;1015.0;65.0
133;24.600.000.000.000.000;0.5;1015.0;65.0
134;24.600.000.000.000.000;0.5250000000000001;1013.0;67.0
135;24.600.000.000.000.000;0.55;1012.0;68.0
136;2.470.000.000.000.000;0.45;1016.0;64.0
137;2.470.000.000.000.000;0.47500000000000003;1015.0;65.0
138;2.470.000.000.000.000;0.5;1015.0;65.0
139;2.470.000.000.000.000;0.5250000000000001;1013.0;67.0
140;2.470.000.000.000.000;0.55;1012.0;68.0
141;2.480.000.000.000.000;0.45;1016.0;64.0
142;2.480.000.000.000.000;0.47500000000000003;1015.0;65.0
143;2.480.000.000.000.000;0.5;1015.0;65.0
144;2.480.000.000.000.000;0.5250000000000001;1013.0;67.0
145;2.480.000.000.000.000;0.55;1012.0;68.0
146;2.490.000.000.000.000;0.45;1016.0;64.0
147;2.490.000.000.000.000;0.47500000000000003;1015.0;65.0
148;2.490.000.000.000.000;0.5;1015.0;65.0
149;2.490.000.000.000.000;0.5250000000000001;1013.0;67.0
150;2.490.000.000.000.000;0.55;1012.0;68.0
151;25.000.000.000.000.000;0.45;1016.0;64.0
152;25.000.000.000.000.000;0.47500000000000003;1015.0;65.0
153;25.000.000.000.000.000;0.5;1015.0;65.0
154;25.000.000.000.000.000;0.5250000000000001;1013.0;67.0
155;25.000.000.000.000.000;0.55;1012.0;68.0
156;25.100.000.000.000.000;0.45;1016.0;64.0
157;25.100.000.000.000.000;0.47500000000000003;1015.0;65.0
158;25.100.000.000.000.000;0.5;1015.0;65.0
159;25.100.000.000.000.000;0.5250000000000001;1013.0;67.0
160;25.100.000.000.000.000;0.55;1012.0;68.0
161;25.200.000.000.000.000;0.45;1016.0;64.0
162;25.200.000.000.000.000;0.47500000000000003;1015.0;65.0
163;25.200.000.000.000.000;0.5;1015.0;65.0
164;25.200.000.000.000.000;0.5250000000000001;1013.0;67.0
165;25.200.000.000.000.000;0.55;1012.0;68.0
166;25.300.000.000.000.000;0.45;1016.0;64.0
167;25.300.000.000.000.000;0.47500000000000003;1015.0;65.0
168;25.300.000.000.000.000;0.5;1015.0;65.0
169;25.300.000.000.000.000;0.5250000000000001;1013.0;67.0
170;25.300.000.000.000.000;0.55;1012.0;68.0
171;2.540.000.000.000.000;0.45;1016.0;64.0
172;2.540.000.000.000.000;0.47500000000000003;1015.0;65.0
173;2.540.000.000.000.000;0.5;1015.0;65.0
174;2.540.000.000.000.000;0.5250000000000001;1013.0;67.0
175;2.540.000.000.000.000;0.55;1012.0;68.0
176;2.550.000.000.000.000;0.45;1016.0;64.0
177;2.550.000.000.000.000;0.47500000000000003;1015.0;65.0
178;2.550.000.000.000.000;0.5;1015.0;65.0
179;2.550.000.000.000.000;0.5250000000000001;1013.0;67.0
180;2.550.000.000.000.000;0.55;1012.0;68.0
181;2.560.000.000.000.000;0.45;1016.0;64.0
182;2.560.000.000.000.000;0.47500000000000003;1015.0;65.0
183;2.560.000.000.000.000;0.5;1015.0;65.0
184;2.560.000.000.000.000;0.5250000000000001;1013.0;67.0
185;2.560.000.000.000.000;0.55;1012.0;68.0
186;25.700.000.000.000.000;0.45;1016.0;64.0
187;25.700.000.000.000.000;0.47500000000000003;1015.0;65.0
188;25.700.000.000.000.000;0.5;1015.0;65.0
189;25.700.000.000.000.000;0.5250000000000001;1013.0;67.0
190;25.700.000.000.000.000;0.55;1012.0;68.0
191;25.800.000.000.000.000;0.45;1016.0;64.0
192;25.800.000.000.000.000;0.47500000000000003;1015.0;65.0
193;25.800.000.000.000.000;0.5;1015.0;65.0
194;25.800.000.000.000.000;0.5250000000000001;1013.0;67.0
195;25.800.000.000.000.000;0.55;1012.0;68.0
196;25.900.000.000.000.000;0.45;1016.0;64.0
197;25.900.000.000.000.000;0.47500000000000003;1015.0;65.0
198;25.900.000.000.000.000;0.5;1015.0;65.0
199;25.900.000.000.000.000;0.5250000000000001;1013.0;67.0
200;25.900.000.000.000.000;0.55;1012.0;68.0
201;26.000.000.000.000.000;0.45;1016.0;64.0
202;26.000.000.000.000.000;0.47500000000000003;1015.0;65.0
203;26.000.000.000.000.000;0.5;1015.0;65.0
204;26.000.000.000.000.000;0.5250000000000001;1013.0;67.0
205;26.000.000.000.000.000;0.55;1012.0;68.0
206;2.610.000.000.000.000;0.45;1016.0;64.0
207;2.610.000.000.000.000;0.47500000000000003;1015.0;65.0
208;2.610.000.000.000.000;0.5;1015.0;65.0
209;2.610.000.000.000.000;0.5250000000000001;1013.0;67.0
210;2.610.000.000.000.000;0.55;1012.0;68.0
211;2.620.000.000.000.000;0.45;1016.0;64.0
212;2.620.000.000.000.000;0.47500000000000003;1015.0;65.0
213;2.620.000.000.000.000;0.5;1015.0;65.0
214;2.620.000.000.000.000;0.5250000000000001;1013.0;67.0
215;2.620.000.000.000.000;0.55;1012.0;68.0
216;2.630.000.000.000.000;0.45;1016.0;64.0
217;2.630.000.000.000.000;0.47500000000000003;1015.0;65.0
218;2.630.000.000.000.000;0.5;1015.0;65.0
219;2.630.000.000.000.000;0.5250000000000001;1013.0;67.0
220;2.630.000.000.000.000;0.55;1012.0;68.0
221;26.400.000.000.000.000;0.45;1016.0;64.0
222;26.400.000.000.000.000;0.47500000000000003;1015.0;65.0
223;26.400.000.000.000.000;0.5;1015.0;65.0
224;26.400.000.000.000.000;0.5250000000000001;1013.0;67.0
225;26.400.000.000.000.000;0.55;1012.0;68.0
226;26.500.000.000.000.000;0.45;1016.0;64.0
227;26.500.000.000.000.000;0.47500000000000003;1015.0;65.0
228;26.500.000.000.000.000;0.5;1015.0;65.0
229;26.500.000.000.000.000;0.5250000000000001;1013.0;67.0
230;26.500.000.000.000.000;0.55;1012.0;68.0
231;26.600.000.000.000.000;0.45;1016.0;64.0
232;26.600.000.000.000.000;0.47500000000000003;1015.0;65.0
233;26.600.000.000.000.000;0.5;1015.0;65.0
234;26.600.000.000.000.000;0.5250000000000001;1013.0;67.0
235;26.600.000.000.000.000;0.55;1012.0;68.0
236;26.700.000.000.000.000;0.45;1016.0;64.0
237;26.700.000.000.000.000;0.47500000000000003;1015.0;65.0
238;26.700.000.000.000.000;0.5;1015.0;65.0
239;26.700.000.000.000.000;0.5250000000000001;1013.0;67.0
240;26.700.000.000.000.000;0.55;1012.0;68.0
241;26.800.000.000.000.000;0.45;1016.0;64.0
242;26.800.000.000.000.000;0.47500000000000003;1015.0;65.0
243;26.800.000.000.000.000;0.5;1015.0;65.0
244;26.800.000.000.000.000;0.5250000000000001;1013.0;67.0
245;26.800.000.000.000.000;0.55;1012.0;68.0
246;2.690.000.000.000.000;0.45;1016.0;64.0
247;2.690.000.000.000.000;0.47500000000000003;1015.0;65.0
248;2.690.000.000.000.000;0.5;1015.0;65.0
249;2.690.000.000.000.000;0.5250000000000001;1013.0;67.0
250;2.690.000.000.000.000;0.55;1012.0;68.0
251;2.700.000.000.000.000;0.45;1016.0;64.0
252;2.700.000.000.000.000;0.47500000000000003;1015.0;65.0
253;2.700.000.000.000.000;0.5;1015.0;65.0
254;2.700.000.000.000.000;0.5250000000000001;1013.0;67.0
255;2.700.000.000.000.000;0.55;1012.0;68.0
256;27.100.000.000.000.000;0.45;1016.0;64.0
257;27.100.000.000.000.000;0.47500000000000003;1015.0;65.0
258;27.100.000.000.000.000;0.5;1015.0;65.0
259;27.100.000.000.000.000;0.5250000000000001;1013.0;67.0
260;27.100.000.000.000.000;0.55;1012.0;68.0
261;27.200.000.000.000.000;0.45;1016.0;64.0
262;27.200.000.000.000.000;0.47500000000000003;1015.0;65.0
263;27.200.000.000.000.000;0.5;1015.0;65.0
264;27.200.000.000.000.000;0.5250000000000001;1013.0;67.0
265;27.200.000.000.000.000;0.55;1012.0;68.0
266;27.300.000.000.000.000;0.45;1016.0;64.0
267;27.300.000.000.000.000;0.47500000000000003;1015.0;65.0
268;27.300.000.000.000.000;0.5;1015.0;65.0
269;27.300.000.000.000.000;0.5250000000000001;1013.0;67.0
270;27.300.000.000.000.000;0.55;1012.0;68.0
271;27.400.000.000.000.000;0.45;1016.0;64.0
272;27.400.000.000.000.000;0.47500000000000003;1015.0;65.0
273;27.400.000.000.000.000;0.5;1015.0;65.0
274;27.400.000.000.000.000;0.5250000000000001;1013.0;67.0
275;27.400.000.000.000.000;0.55;1012.0;68.0
276;27.500.000.000.000.000;0.45;1016.0;64.0
277;27.500.000.000.000.000;0.47500000000000003;1015.0;65.0
278;27.500.000.000.000.000;0.5;1015.0;65.0
279;27.500.000.000.000.000;0.5250000000000001;1013.0;67.0
280;27.500.000.000.000.000;0.55;1012.0;68.0
281;2.760.000.000.000.000;0.45;1016.0;64.0
282;2.760.000.000.000.000;0.47500000000000003;1015.0;65.0
283;2.760.000.000.000.000;0.5;1015.0;65.0
284;2.760.000.000.000.000;0.5250000000000001;1013.0;67.0
285;2.760.000.000.000.000;0.55;1012.0;68.0
286;2.770.000.000.000.000;0.45;1016.0;64.0
287;2.770.000.000.000.000;0.47500000000000003;1015.0;65.0
288;2.770.000.000.000.000;0.5;1015.0;65.0
289;2.770.000.000.000.000;0.5250000000000001;1013.0;67.0
290;2.770.000.000.000.000;0.55;1012.0;68.0
291;27.800.000.000.000.000;0.45;1016.0;64.0
292;27.800.000.000.000.000;0.47500000000000003;1015.0;65.0
293;27.800.000.000.000.000;0.5;1015.0;65.0
294;27.800.000.000.000.000;0.5250000000000001;1013.0;67.0
295;27.800.000.000.000.000;0.55;1012.0;68.0
296;27.900.000.000.000.000;0.45;1016.0;64.0
297;27.900.000.000.000.000;0.47500000000000003;1015.0;65.0
298;27.900.000.000.000.000;0.5;1015.0;65.0
299;27.900.000.000.000.000;0.5250000000000001;1013.0;67.0
300;27.900.000.000.000.000;0.55;1012.0;68.0
301;28.000.000.000.000.000;0.45;1016.0;64.0
302;28.000.000.000.000.000;0.47500000000000003;1015.0;65.0
303;28.000.000.000.000.000;0.5;1015.0;65.0
304;28.000.000.000.000.000;0.5250000000000001;1013.0;67.0
305;28.000.000.000.000.000;0.55;1012.0;68.0
306;28.100.000.000.000.000;0.45;1016.0;64.0
307;28.100.000.000.000.000;0.47500000000000003;1015.0;65.0
308;28.100.000.000.000.000;0.5;1015.0;65.0
309;28.100.000.000.000.000;0.5250000000000001;1013.0;67.0
310;28.100.000.000.000.000;0.55;1012.0;68.0
311;28.200.000.000.000.000;0.45;1016.0;64.0
312;28.200.000.000.000.000;0.47500000000000003;1015.0;65.0
313;28.200.000.000.000.000;0.5;1015.0;65.0
314;28.200.000.000.000.000;0.5250000000000001;1013.0;67.0
315;28.200.000.000.000.000;0.55;1012.0;68.0
316;2.830.000.000.000.000;0.45;1016.0;64.0
317;2.830.000.000.000.000;0.47500000000000003;1015.0;65.0
318;2.830.000.000.000.000;0.5;1015.0;65.0
319;2.830.000.000.000.000;0.5250000000000001;1013.0;67.0
320;2.830.000.000.000.000;0.55;1012.0;68.0
321;2.840.000.000.000.000;0.45;1016.0;64.0
322;2.840.000.000.000.000;0.47500000000000003;1015.0;65.0
323;2.840.000.000.000.000;0.5;1015.0;65.0
324;2.840.000.000.000.000;0.5250000000000001;1013.0;67.0
325;2.840.000.000.000.000;0.55;1012.0;68.0
326;28.500.000.000.000.000;0.45;1016.0;64.0
327;28.500.000.000.000.000;0.47500000000000003;1015.0;65.0
328;28.500.000.000.000.000;0.5;1015.0;65.0
329;28.500.000.000.000.000;0.5250000000000001;1013.0;67.0
330;28.500.000.000.000.000;0.55;1012.0;68.0
331;28.600.000.000.000.000;0.45;1016.0;64.0
332;28.600.000.000.000.000;0.47500000000000003;1015.0;65.0
333;28.600.000.000.000.000;0.5;1015.0;65.0
334;28.600.000.000.000.000;0.5250000000000001;1013.0;67.0
335;28.600.000.000.000.000;0.55;1012.0;68.0
336;28.700.000.000.000.000;0.45;1016.0;64.0
337;28.700.000.000.000.000;0.47500000000000003;1015.0;65.0
338;28.700.000.000.000.000;0.5;1015.0;65.0
339;28.700.000.000.000.000;0.5250000000000001;1013.0;67.0
340;28.700.000.000.000.000;0.55;1012.0;68.0
341;28.800.000.000.000.000;0.45;1016.0;64.0
342;28.800.000.000.000.000;0.47500000000000003;1015.0;65.0
343;28.800.000.000.000.000;0.5;1015.0;65.0
344;28.800.000.000.000.000;0.5250000000000001;1013.0;67.0
345;28.800.000.000.000.000;0.55;1012.0;68.0
346;28.900.000.000.000.000;0.45;1016.0;64.0
347;28.900.000.000.000.000;0.47500000000000003;1015.0;65.0
348;28.900.000.000.000.000;0.5;1015.0;65.0
349;28.900.000.000.000.000;0.5250000000000001;1013.0;67.0
350;28.900.000.000.000.000;0.55;1012.0;68.0
351;290.000.000.000.001;0.45;1016.0;64.0
352;290.000.000.000.001;0.47500000000000003;1015.0;65.0
353;290.000.000.000.001;0.5;1015.0;65.0
354;290.000.000.000.001;0.5250000000000001;1013.0;67.0
355;290.000.000.000.001;0.55;1012.0;68.0
356;291.000.000.000.001;0.45;1016.0;64.0
357;291.000.000.000.001;0.47500000000000003;1015.0;65.0
358;291.000.000.000.001;0.5;1015.0;65.0
359;291.000.000.000.001;0.5250000000000001;1013.0;67.0
360;291.000.000.000.001;0.55;1012.0;68.0
361;29.200.000.000.000.100;0.45;1016.0;64.0
362;29.200.000.000.000.100;0.47500000000000003;1015.0;65.0
363;29.200.000.000.000.100;0.5;1015.0;65.0
364;29.200.000.000.000.100;0.5250000000000001;1013.0;67.0
365;29.200.000.000.000.100;0.55;1012.0;68.0
366;29.300.000.000.000.100;0.45;1016.0;64.0
367;29.300.000.000.000.100;0.47500000000000003;1015.0;65.0
368;29.300.000.000.000.100;0.5;1015.0;65.0
369;29.300.000.000.000.100;0.5250000000000001;1013.0;67.0
370;29.300.000.000.000.100;0.55;1012.0;68.0
371;29.400.000.000.000.100;0.45;1016.0;64.0
372;29.400.000.000.000.100;0.47500000000000003;1015.0;65.0
373;29.400.000.000.000.100;0.5;1015.0;65.0
374;29.400.000.000.000.100;0.5250000000000001;1013.0;67.0
375;29.400.000.000.000.100;0.55;1012.0;68.0
376;29.500.000.000.000.100;0.45;1016.0;64.0
377;29.500.000.000.000.100;0.47500000000000003;1015.0;65.0
378;29.500.000.000.000.100;0.5;1015.0;65.0
