                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.99425,                0.44447,                0.94288,                 0.9212,                0.88426,                0.91709,                0.59783,                 1.0514,                0.45046,                0.99516,              0.0012678,              0.0012678,              0.0012678
                     56,                0.99311,                0.45018,                0.94319,                0.93436,                0.86994,                0.91894,                0.61265,                   1.05,                0.44387,                0.99901,              0.0012647,              0.0012647,              0.0012647
                     57,                0.99729,                 0.4483,                0.94683,                0.93169,                0.86174,                0.90611,                0.59667,                 1.0707,                0.44922,                 1.0025,              0.0012617,              0.0012617,              0.0012617
                     58,                0.99008,                0.44294,                0.94606,                0.91651,                0.87677,                0.91265,                0.60403,                 1.0627,                 0.4563,                0.99697,              0.0012586,              0.0012586,              0.0012586
                     59,                0.99223,                0.44506,                0.93997,                0.90583,                0.87296,                0.90252,                0.59645,                 1.0634,                0.45356,                0.99995,              0.0012556,              0.0012556,              0.0012556
                     60,                0.98329,                0.43646,                0.93956,                0.93532,                0.87317,                0.91455,                0.60639,                  1.062,                0.45091,                 1.0023,              0.0012525,              0.0012525,              0.0012525
                     61,                0.98641,                0.44421,                0.93894,                0.92607,                0.86912,                0.90698,                0.60261,                 1.0555,                0.44967,                0.99631,              0.0012495,              0.0012495,              0.0012495
                     62,                 0.9666,                0.43391,                0.93431,                0.91026,                0.86124,                0.90446,                0.59709,                 1.0653,                0.44655,                 1.0015,              0.0012465,              0.0012465,              0.0012465
                     63,                0.97788,                0.43379,                0.94004,                0.91114,                0.89041,                0.91631,                0.60923,                 1.0582,                0.44741,                0.99845,              0.0012434,              0.0012434,              0.0012434
                     64,                0.97881,                0.43808,                0.93826,                0.94785,                0.87041,                0.92033,                0.60458,                 1.0652,                 0.4489,                 1.0029,              0.0012404,              0.0012404,              0.0012404
                     65,                0.96959,                0.43089,                0.93509,                0.93545,                0.85916,                0.90983,                 0.6079,                 1.0432,                0.44234,                 0.9958,              0.0012373,              0.0012373,              0.0012373
                     66,                0.96638,                0.43937,                0.94126,                0.89937,                0.88029,                0.90145,                0.59639,                 1.0719,                0.45067,                 1.0122,              0.0012343,              0.0012343,              0.0012343
                     67,                 0.9821,                 0.4455,                0.94124,                0.94212,                0.87382,                0.91288,                0.60575,                 1.0665,                0.44768,                 1.0004,              0.0012312,              0.0012312,              0.0012312
                     68,                0.96661,                0.43772,                0.93243,                 0.9305,                0.86401,                0.89962,                0.60476,                 1.0574,                0.44838,                 1.0009,              0.0012282,              0.0012282,              0.0012282
                     69,                0.95156,                0.42848,                0.92726,                0.94224,                 0.8639,                0.91608,                0.60922,                 1.0656,                0.44163,                 1.0027,              0.0012252,              0.0012252,              0.0012252
                     70,                0.96237,                 0.4297,                0.93618,                0.92911,                0.87981,                0.91551,                0.60958,                 1.0538,                0.43842,                0.99998,              0.0012221,              0.0012221,              0.0012221
                     71,                0.96032,                  0.429,                0.93197,                0.89776,                0.88564,                0.90885,                0.60433,                 1.0578,                0.44109,                 1.0027,              0.0012191,              0.0012191,              0.0012191
                     72,                0.96026,                0.43072,                0.93522,                0.91452,                0.86933,                0.91184,                0.60199,                 1.0581,                0.44857,                 1.0034,               0.001216,               0.001216,               0.001216
                     73,                 0.9462,                0.42114,                0.92578,                0.93566,                0.86031,                0.91135,                0.60931,                 1.0544,                0.43749,                  1.002,               0.001213,               0.001213,               0.001213
                     74,                 0.9453,                0.42156,                0.92999,                0.91944,                0.87208,                 0.9035,                0.59965,                 1.0743,                 0.4447,                 1.0047,              0.0012099,              0.0012099,              0.0012099
                     75,                 0.9414,                0.42228,                0.92655,                0.92773,                0.87678,                0.91633,                0.60928,                 1.0538,                0.43758,                0.99652,              0.0012069,              0.0012069,              0.0012069
                     76,                0.94356,                0.42479,                0.93443,                0.92941,                0.87609,                0.91661,                0.60141,                 1.0865,                0.45646,                 1.0107,              0.0012039,              0.0012039,              0.0012039
                     77,                0.95203,                0.42283,                 0.9293,                0.94166,                0.86198,                0.91514,                0.60387,                 1.0739,                 0.4453,                  1.001,              0.0012008,              0.0012008,              0.0012008
                     78,                0.92527,                0.41617,                0.92016,                0.93892,                0.87592,                0.92148,                0.61276,                 1.0639,                0.43373,                 1.0005,              0.0011978,              0.0011978,              0.0011978
                     79,                0.93351,                0.41221,                0.92348,                0.94246,                0.87543,                0.91161,                0.60816,                 1.0553,                0.42815,                0.99732,              0.0011947,              0.0011947,              0.0011947
                     80,                0.93386,                0.41282,                0.92416,                0.91828,                0.87642,                0.91303,                0.60827,                 1.0613,                0.43512,                 1.0025,              0.0011917,              0.0011917,              0.0011917
                     81,                0.92581,                0.41411,                0.92356,                0.92384,                0.87986,                0.91546,                0.60834,                 1.0644,                0.43043,                 1.0042,              0.0011887,              0.0011887,              0.0011887
                     82,                0.92702,                0.41064,                0.92311,                0.94156,                0.87638,                0.91547,                0.60916,                 1.0671,                0.43152,                 1.0051,              0.0011856,              0.0011856,              0.0011856
                     83,                0.92585,                0.40832,                0.92558,                0.91725,                0.88845,                0.91084,                 0.6102,                 1.0527,                0.42927,                0.99974,              0.0011826,              0.0011826,              0.0011826
                     84,                0.91623,                0.41343,                0.91923,                0.91226,                0.87192,                0.90325,                0.60122,                 1.0613,                0.43578,                 1.0039,              0.0011795,              0.0011795,              0.0011795
                     85,                0.91401,                0.40883,                0.91692,                0.92448,                0.86485,                0.90942,                0.59862,                  1.066,                0.43912,                 1.0047,              0.0011765,              0.0011765,              0.0011765
                     86,                0.91151,                0.40497,                0.91687,                0.92353,                0.88653,                0.91749,                0.60774,                  1.052,                0.43191,                0.99889,              0.0011734,              0.0011734,              0.0011734
                     87,                0.90987,                0.40258,                0.91377,                 0.9279,                0.88033,                0.91671,                0.60771,                 1.0511,                 0.4337,                 1.0015,              0.0011704,              0.0011704,              0.0011704
                     88,                0.91526,                0.40244,                0.92368,                  0.916,                 0.8825,                0.91032,                0.60548,                 1.0638,                 0.4348,                 1.0009,              0.0011674,              0.0011674,              0.0011674
                     89,                0.91612,                0.40348,                0.92054,                0.90535,                0.88702,                0.91297,                0.60995,                 1.0673,                0.43871,                 1.0026,              0.0011643,              0.0011643,              0.0011643
                     90,                0.90671,                0.40461,                 0.9178,                0.92408,                0.88186,                0.91616,                0.60676,                 1.0532,                0.42387,                0.99662,              0.0011613,              0.0011613,              0.0011613
                     91,                0.90989,                0.40683,                 0.9174,                 0.9339,                0.86145,                0.90935,                0.60126,                 1.0665,                0.44057,                 1.0041,              0.0011582,              0.0011582,              0.0011582
                     92,                0.91015,                0.40634,                0.91795,                 0.9352,                0.87111,                0.91496,                0.61059,                 1.0535,                 0.4296,                 1.0008,              0.0011552,              0.0011552,              0.0011552
                     93,                0.91452,                0.40444,                0.91784,                0.91465,                0.88201,                0.91734,                 0.6152,                 1.0532,                0.42713,                0.99722,              0.0011521,              0.0011521,              0.0011521
                     94,                0.89006,                0.39267,                0.90498,                0.93138,                0.87782,                0.91528,                0.61626,                 1.0632,                0.42676,                 1.0026,              0.0011491,              0.0011491,              0.0011491
                     95,                0.89498,                0.39813,                0.91186,                0.92364,                 0.8769,                0.91789,                0.60335,                  1.071,                0.44265,                 1.0035,              0.0011461,              0.0011461,              0.0011461
                     96,                0.89903,                0.40094,                0.91619,                0.93532,                0.88332,                0.91461,                0.60065,                 1.0691,                0.43756,                  1.002,               0.001143,               0.001143,               0.001143
                     97,                0.88709,                0.40049,                0.91396,                0.93547,                0.87183,                0.91313,                0.60974,                 1.0708,                0.43799,                 1.0067,                0.00114,                0.00114,                0.00114
                     98,                0.90174,                0.40139,                 0.9138,                0.93064,                0.88129,                0.91063,                0.60849,                 1.0649,                0.43451,                 1.0046,              0.0011369,              0.0011369,              0.0011369
                     99,                0.88392,                0.39689,                0.91178,                0.93057,                0.86257,                0.90918,                0.60839,                 1.0627,                0.43094,                 1.0041,              0.0011339,              0.0011339,              0.0011339
